,playlist_id,playlist_name,position,album_name,album_id,album_release_date,album_artists,album_artists_ids,album_artists_genres,album_artists_popularity,album_artists_followers,track_name,track_id,track_popularity,track_artists,track_artists_ids,track_artists_genres,track_artists_popularity,track_explicit,track_artists_followers,danceability,energy,key,speechiness,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,album_artist,release_date_datetime,release_year,chart_year,main_genre
856,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,31,Grateful,3HhZbSJdhOqMSaRbEt3gtw,2017-06-22,['DJ Khaled'],['0QHgL1lAIqAw0HtD7YldmP'],"[['dance pop', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']]",[81],[6976376],"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",1jYiIOC5d6soxkJP81fxq2,67,"['DJ Khaled', 'Justin Bieber', 'Quavo', 'Chance the Rapper', 'Lil Wayne']",['0QHgL1lAIqAw0HtD7YldmP'],"[['dance pop', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']]",[81],True,[6976376],0.599,0.667,7,0.0367,-4.267,1,0.0533,0.0,0.134,0.817,80.984,288877,4,DJ Khaled,2017-06-22,2017,2017,Pop
857,34KSLHLGSNqeK6UfxKnLuM,Billboard 200 Top Albums 2018,161,"Love, Simon (Original Motion Picture Soundtrack)",1JHZTusMlrbbTBC3xHt2Gw,2018-03-16,['Various Artists'],['0LyfQWJT6nXafLPZqxe9Of'],[[]],[0],[1447145],I Wanna Dance with Somebody (Who Loves Me),1V3EGOpwOHo5auReR2QjRJ,33,['Whitney Houston'],['0LyfQWJT6nXafLPZqxe9Of'],[[]],[0],False,[1447145],0.709,0.85,1,0.0413,-6.773,1,0.109,0.000439,0.0891,0.877,118.814,290960,4,Whitney Houston,2018-03-16,2018,2018,Soundtrack
858,34KSLHLGSNqeK6UfxKnLuM,Billboard 200 Top Albums 2018,164,A Love Letter To You,7ae73nWyKrrH9wwGm97RIA,2017-05-14,['Trippie Redd'],['6Xgp2XMz1fhVYe7i6yNAax'],"[['melodic rap', 'rap', 'trap']]",[88],[7126462],Love Scars,0AICBlLzFCTpUqmAbtzB2z,76,['Trippie Redd'],['6Xgp2XMz1fhVYe7i6yNAax'],"[['melodic rap', 'rap', 'trap']]",[88],True,[7126462],0.659,0.614,9,0.0541,-7.32,0,0.000404,0.0,0.123,0.26,119.405,143969,4,Trippie Redd,2017-05-14,2017,2018,Hip-hop
859,34KSLHLGSNqeK6UfxKnLuM,Billboard 200 Top Albums 2018,166,The Mountain,45fVgJb5lmzatX9VZ4yzSO,2018-06-08,['Dierks Bentley'],['7x8nK0m0cP2ksQf0mjWdPS'],"[['contemporary country', 'country', 'country road']]",[72],[2701202],Burning Man,4a1oIihVt6xSnDRpgX387M,67,"['Dierks Bentley', 'Brothers Osborne']",['7x8nK0m0cP2ksQf0mjWdPS'],"[['contemporary country', 'country', 'country road']]",[72],False,[2701202],0.609,0.807,5,0.0972,-7.221,1,0.00403,5.42e-06,0.0926,0.492,119.073,238493,4,Dierks Bentley,2018-06-08,2018,2018,Country
860,34KSLHLGSNqeK6UfxKnLuM,Billboard 200 Top Albums 2018,167,And Justice for None (Deluxe),440w9VaZP1M7FnfMdHapR3,2018-05-18,['Five Finger Death Punch'],['5t28BP42x2axFnqOOMg3CM'],"[['alternative metal', 'groove metal', 'nu metal']]",[77],[5256000],Gone Away,57nTFMsSiVATCDPZm9JF4S,62,['Five Finger Death Punch'],['5t28BP42x2axFnqOOMg3CM'],"[['alternative metal', 'groove metal', 'nu metal']]",[77],False,[5256000],0.502,0.737,10,0.0407,-7.572,1,0.000374,5.07e-05,0.153,0.277,106.05,275213,4,Five Finger Death Punch,2018-05-18,2018,2018,Metal
861,34KSLHLGSNqeK6UfxKnLuM,Billboard 200 Top Albums 2018,170,Flicker (Deluxe),7ahctQBwcSxDdP0fRAPo2p,2017-10-20,['Niall Horan'],['1Hsdzj7Dlq2I7tHP7501T4'],"[['dance pop', 'pop', 'post-teen pop']]",[81],[8135179],Slow Hands,2cOUlop2ZakjOKe4WinesN,78,['Niall Horan'],['1Hsdzj7Dlq2I7tHP7501T4'],"[['dance pop', 'pop', 'post-teen pop']]",[81],False,[8135179],0.735,0.425,0,0.0464,-6.648,1,0.011,0.0,0.055,0.848,85.896,188174,4,Niall Horan,2017-10-20,2017,2018,Pop
862,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,179,Flicker (Deluxe),7ahctQBwcSxDdP0fRAPo2p,2017-10-20,['Niall Horan'],['1Hsdzj7Dlq2I7tHP7501T4'],"[['dance pop', 'pop', 'post-teen pop']]",[81],[8135179],Slow Hands,2cOUlop2ZakjOKe4WinesN,78,['Niall Horan'],['1Hsdzj7Dlq2I7tHP7501T4'],"[['dance pop', 'pop', 'post-teen pop']]",[81],False,[8135179],0.735,0.425,0,0.0464,-6.648,1,0.011,0.0,0.055,0.848,85.896,188174,4,Niall Horan,2017-10-20,2017,2017,Pop
863,34KSLHLGSNqeK6UfxKnLuM,Billboard 200 Top Albums 2018,172,GEMINI,72qA6s4fjF8Y2VX1UDMfp2,2017-09-22,['Macklemore'],['3JhNCzhSMTxs9WLGJJxWOY'],"[['pop rap', 'seattle hip hop']]",[80],[1820363],Glorious (feat. Skylar Grey),0CokSRCu5hZgPxcZBaEzVE,76,"['Macklemore', 'Skylar Grey']",['3JhNCzhSMTxs9WLGJJxWOY'],"[['pop rap', 'seattle hip hop']]",[80],True,[1820363],0.731,0.794,0,0.0522,-5.126,0,0.0323,2.59e-05,0.112,0.356,139.994,220454,4,Macklemore,2017-09-22,2017,2018,Hip-hop
864,34KSLHLGSNqeK6UfxKnLuM,Billboard 200 Top Albums 2018,173,STAY DANGEROUS,5IYvKd22yQkJRfoIStesbX,2018-08-03,['YG'],['0A0FS04o6zMoto8OKPsDwY'],"[['cali rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']]",[79],[2752631],"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",0ZNrc4kNeQYD9koZ3KvCsy,71,"['YG', '2 Chainz', 'Big Sean', 'Nicki Minaj']",['0A0FS04o6zMoto8OKPsDwY'],"[['cali rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']]",[79],True,[2752631],0.745,0.346,1,0.331,-7.709,1,0.00552,0.0,0.0881,0.112,203.911,237240,4,YG,2018-08-03,2018,2018,Hip-hop
865,34KSLHLGSNqeK6UfxKnLuM,Billboard 200 Top Albums 2018,174,READY,3o09FMrUQ5TVBUYb6msCMi,2017-02-22,['Ella Mai'],['7HkdQ0gt53LP4zmHsL0nap'],"[['dance pop', 'pop', 'pop r&b', 'pop rap', 'r&b', 'uk contemporary r&b', 'urban contemporary']]",[73],[4076571],Boo'd Up,0At2qAoaVjIwWNAqrscXli,72,['Ella Mai'],['7HkdQ0gt53LP4zmHsL0nap'],"[['dance pop', 'pop', 'pop r&b', 'pop rap', 'r&b', 'uk contemporary r&b', 'urban contemporary']]",[73],False,[4076571],0.561,0.779,10,0.0531,-5.107,0,0.0862,0.0,0.078,0.235,81.965,256064,4,Ella Mai,2017-02-22,2017,2018,Pop
