,playlist_id,playlist_name,position,album_name,album_id,album_release_date,album_artists,album_artists_ids,album_artists_genres,album_artists_popularity,album_artists_followers,track_name,track_id,track_popularity,track_artists,track_artists_ids,track_artists_genres,track_artists_popularity,track_explicit,track_artists_followers,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,34KSLHLGSNqeK6UfxKnLuM,Billboard 200 Top Albums 2018,1,reputation,6DEjYFkNZh67HP7R9PSZvv,2017-11-10,Taylor Swift,['06HL4z0CvFAxyc27GXpf02'],[['pop']],[100],[47362363],Look What You Made Me Do,1P17dC1amhFzptugyAO7Il,80,['Taylor Swift'],['06HL4z0CvFAxyc27GXpf02'],[['pop']],[100],False,[47362363],0.766,0.709,9,-6.471,0,0.204,1.41e-05,0.126,0.506,128.07,211853,4
1,34KSLHLGSNqeK6UfxKnLuM,Billboard 200 Top Albums 2018,2,Scorpion,1ATL5GLyefJaxhQzSPVrLX,2018-06-29,['Drake'],['3TVXtAsR1Inumwj472S9r4'],"[['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']]",[98],[59845429],God's Plan,6DCZcSspjsKoFjzjrWoCdn,85,['Drake'],['3TVXtAsR1Inumwj472S9r4'],"[['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']]",[98],True,[59845429],0.754,0.449,7,-9.211,1,0.0332,8.29e-05,0.552,0.357,77.169,198973,4
2,34KSLHLGSNqeK6UfxKnLuM,Billboard 200 Top Albums 2018,3,beerbongs & bentleys,6trNtQUgC8cgbWcqoMYkOR,2018-04-27,['Post Malone'],['246dkjvS1zLTtiykXe5h60'],"[['dfw rap', 'melodic rap', 'rap']]",[92],[35389830],rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,86,"['Post Malone', '21 Savage']",['246dkjvS1zLTtiykXe5h60'],"[['dfw rap', 'melodic rap', 'rap']]",[92],True,[35389830],0.585,0.52,5,-6.136,0,0.124,7.01e-05,0.131,0.129,159.801,218147,4
3,34KSLHLGSNqeK6UfxKnLuM,Billboard 200 Top Albums 2018,4,The Greatest Showman (Original Motion Picture Soundtrack),7ayBZIe1FHkNv0T5xFCX6F,2017-12-08,['Various Artists'],['0LyfQWJT6nXafLPZqxe9Of'],[[]],[0],[1422955],This Is Me,45aBsnKRWUzhwbcqOJLwfe,77,"['Keala Settle', 'The Greatest Showman Ensemble']",['0LyfQWJT6nXafLPZqxe9Of'],[[]],[0],False,[1422955],0.284,0.704,2,-7.276,1,0.00583,0.000115,0.0424,0.1,191.702,234707,4
4,34KSLHLGSNqeK6UfxKnLuM,Billboard 200 Top Albums 2018,5,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu,2017-03-03,['Ed Sheeran'],['6eUKZXaKkcviH0Ku9w2n3V'],"[['pop', 'uk pop']]",[97],[90231430],Shape of You,7qiZfU4dY1lWllzX7mPBI3,88,['Ed Sheeran'],['6eUKZXaKkcviH0Ku9w2n3V'],"[['pop', 'uk pop']]",[97],False,[90231430],0.825,0.652,1,-3.183,0,0.581,0.0,0.0931,0.931,95.977,233713,4
5,34KSLHLGSNqeK6UfxKnLuM,Billboard 200 Top Albums 2018,6,Invasion of Privacy,4sDAyYEMhD2YyREWKxj3aD,2018-04-05,['Cardi B'],['4kYSro6naA4h99UJvo89HB'],"[['dance pop', 'pop', 'pop rap', 'rap']]",[86],[18852369],I Like It,3bsycjdQtbcJeR6822SBvd,52,"['Cardi B', 'Bad Bunny', 'J Balvin']",['4kYSro6naA4h99UJvo89HB'],"[['dance pop', 'pop', 'pop rap', 'rap']]",[86],False,[18852369],0.814,0.721,5,-4.026,0,0.0981,0.0,0.378,0.643,136.05,253390,4
6,34KSLHLGSNqeK6UfxKnLuM,Billboard 200 Top Albums 2018,7,ASTROWORLD,41GuZcammIkupMPKH2OJ6I,2018-08-03,['Travis Scott'],['0Y5tJX1MQlPlqiwlOH1tJY'],"[['rap', 'slap house']]",[93],[19394352],SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,85,['Travis Scott'],['0Y5tJX1MQlPlqiwlOH1tJY'],"[['rap', 'slap house']]",[93],True,[19394352],0.834,0.73,8,-3.714,1,0.00513,0.0,0.124,0.446,155.008,312820,4
7,34KSLHLGSNqeK6UfxKnLuM,Billboard 200 Top Albums 2018,8,Stoney (Deluxe),5s0rmjP8XOPhP6HhqOhuyC,2016-12-09,['Post Malone'],['246dkjvS1zLTtiykXe5h60'],"[['dfw rap', 'melodic rap', 'rap']]",[92],[35389830],Congratulations,3a1lNhkSLSkpJE4MSHpDu9,84,"['Post Malone', 'Quavo']",['246dkjvS1zLTtiykXe5h60'],"[['dfw rap', 'melodic rap', 'rap']]",[92],True,[35389830],0.63,0.804,6,-4.183,1,0.215,0.0,0.253,0.492,123.146,220293,4
8,34KSLHLGSNqeK6UfxKnLuM,Billboard 200 Top Albums 2018,9,?,2Ti79nwTsont5ZHfdxIzAm,2018-03-16,['XXXTENTACION'],['15UsOTVnJzReFVN1VCnxy4'],"[['emo rap', 'miami hip hop']]",[91],[33466773],SAD!,3ee8Jmje8o58CHK66QrVC2,87,['XXXTENTACION'],['15UsOTVnJzReFVN1VCnxy4'],"[['emo rap', 'miami hip hop']]",[91],True,[33466773],0.74,0.613,8,-4.88,1,0.258,0.00372,0.123,0.473,75.023,166606,4
9,34KSLHLGSNqeK6UfxKnLuM,Billboard 200 Top Albums 2018,10,Culture II,7fd7SEK25VS3gJAUgSwL6y,2018-01-26,['Migos'],['6oMuImdp5ZcFhWP0ESe6mG'],"[['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']]",[83],[12015875],Walk It Talk It,6n4U3TlzUGhdSFbUUhTvLP,78,"['Migos', 'Drake']",['6oMuImdp5ZcFhWP0ESe6mG'],"[['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']]",[83],True,[12015875],0.907,0.633,2,-5.145,1,0.0876,2.6e-06,0.106,0.395,145.914,276147,4
