,playlist_id,playlist_name,chart_position,album_release_date,release_year,release_date_datetime,album_id,album_artist,track_name,track_id,track_popularity,track_artists,track_artists_ids,track_artists_genres,track_artists_popularity,track_explicit,track_artists_followers,album_name,danceability,energy,key,speechiness,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_artist,track_artist_id,track_artist_popularity,track_artist_followers,track_artists_genres_consolidate,main_genre,Soundtrack,Rock,Pop,Hip-hop,Edm,Latin,Indie,Christian,Country,Soul,Metal,Jazz,Folk,Funk,Misc,Easy_listening,R&B,Reggae,Show_tunes,No Genre Assigned
3613,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,116,2008-05-20,2008,2008-05-20,3q6Bz38jmqRDkXI7j5Hb9Y,Tom Petty,Even The Losers,5SdMXQmfV4OZx5O05986d3,49,['Tom Petty and the Heartbreakers'],['4tX2TplrkIP4v05BNC903e'],"['album rock', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'pop rock', 'psychedelic rock', 'rock', 'roots rock', 'soft rock']",[71],False,[2107511],Greatest Hits,0.47,0.703,2,0.0298,-8.223,1,0.0107,0.00169,0.375,0.714,131.336,218667,4,Tom Petty and the Heartbreakers,4tX2TplrkIP4v05BNC903e,71,2107511,"['Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock']",Rock,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3619,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,116,2008-05-20,2008,2008-05-20,3q6Bz38jmqRDkXI7j5Hb9Y,Tom Petty,Runnin' Down A Dream,3noZh3GynRLHd9QxtbmAyX,49,['Tom Petty'],['4tX2TplrkIP4v05BNC903e'],"['album rock', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'pop rock', 'psychedelic rock', 'rock', 'roots rock', 'soft rock']",[71],False,[2107511],Greatest Hits,0.463,0.923,9,0.0355,-9.567,1,0.0014,0.433,0.479,0.788,169.964,263213,4,Tom Petty,4tX2TplrkIP4v05BNC903e,71,2107511,"['Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock', 'Rock']",Rock,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2106,0n3V7u9sMRV7sCDMhWxDtL,Billboard 200 Top Albums 2019,66,2005-12-06,2005,2005-12-06,3eFDUa0q5bS0bYMp9LGJLk,Eminem,Shake That - Album Version (Edited)- SUPERCLEAN,6c9RCuOBbDhawmqaXYznOl,49,['Eminem'],['7dGJo4pcD2V6oG8kP0tJRR'],"['detroit hip hop', 'hip hop', 'rap']",[93],False,[51409938],Curtain Call: The Hits,0.961,0.626,1,0.0837,-5.464,0,0.0454,0.000122,0.161,0.58,106.979,274053,4,Eminem,7dGJo4pcD2V6oG8kP0tJRR,93,51409938,"['Hip-hop', 'Hip-hop', 'Hip-hop']",Hip-hop,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16435,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,195,2011-09-09,2011,2011-09-09,0W5GGnapMz0VwemQvJDqa7,Ed Sheeran,Give Me Love,1NvOOkafczKxO5YXRR01ax,49,['Ed Sheeran'],['6eUKZXaKkcviH0Ku9w2n3V'],"['pop', 'uk pop']",[96],False,[91229618],+,0.526,0.328,1,0.0461,-9.864,1,0.694,0.0,0.112,0.11,116.068,526387,4,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,96,91229618,"['Pop', 'Pop']",Pop,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13265,34KSLHLGSNqeK6UfxKnLuM,Billboard 200 Top Albums 2018,53,2017-06-02,2017,2017-06-02,2vlhlrgMaXqcnhRqIEV9AP,Dua Lipa,IDGAF,1ny60YCHhEsxsJXWLhK7b0,49,['Dua Lipa'],['6M2wZ9GZgrQXHCFfjv46we'],"['dance pop', 'pop', 'uk pop']",[93],True,[31552553],Dua Lipa,0.836,0.544,7,0.0943,-5.975,1,0.0403,0.0,0.0824,0.51,97.028,217947,4,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,93,31552553,"['Pop', 'Pop', 'Pop']",Pop,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11010,1EEazdcjH0keT4sttGvH8c,Billboard 200 Top Albums 2020,196,2019-11-01,2019,2019-11-01,5Or2XM0Gjy6Y8qlaERqsSn,Miranda Lambert,Way Too Pretty for Prison (with Maren Morris),6ZShReTf4SiT7LYXnRCks0,48,"['Miranda Lambert', 'Maren Morris']",['66lH4jAE7pqPlOlzUKbwA0'],"['contemporary country', 'country', 'country dawn', 'country road']",[74],False,[3011529],Wildcard,0.51,0.903,0,0.0618,-3.898,1,0.0335,0.0,0.119,0.709,165.74,194080,4,Miranda Lambert,66lH4jAE7pqPlOlzUKbwA0,74,3011529,"['Country', 'Country', 'Country', 'Country']",Country,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10223,1EEazdcjH0keT4sttGvH8c,Billboard 200 Top Albums 2020,146,2020-05-01,2020,2020-05-01,0t7ccDIa3CbqzFrL9rOpaw,Kenny Chesney,You Don't Get To,0evD8RKcpsMnxrT6wHglkk,48,['Kenny Chesney'],['3grHWM9bx2E9vwJCdlRv9O'],"['contemporary country', 'country', 'country road']",[74],False,[3738612],Here And Now,0.362,0.528,5,0.0409,-7.395,1,0.171,0.0,0.0993,0.318,73.78,216533,4,Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O,74,3738612,"['Country', 'Country', 'Country']",Country,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
393,3avCwQPH6DkhMTRsizon7N,Billboard 200 Top Albums 2021,14,2020-03-20,2020,2020-03-20,03NCvBIGqzLPhLoi4pDb3L,The Weeknd,In Your Eyes,2jo3etFarByI6akx5cyPDg,48,['The Weeknd'],['1Xyo4u8uXC1ZmMpatF05PJ'],"['canadian contemporary r&b', 'canadian pop', 'pop']",[100],False,[40930648],After Hours,0.667,0.719,7,0.0346,-5.371,0,0.00285,8.1e-05,0.0736,0.717,100.021,237520,4,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,100,40930648,"['R&B', 'Pop', 'Pop']",R&B,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5782,3avCwQPH6DkhMTRsizon7N,Billboard 200 Top Albums 2021,119,2016-01-28,2016,2016-01-28,48i37aZTC1prDr4EcpQeEa,Rihanna,Love On The Brain,31adnbEEiHwy6DDQ82F3HP,48,['Rihanna'],['5pKCCKE2ajJHZ9KAiaK11H'],"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']",[91],True,[46732802],ANTI,0.509,0.637,4,0.0471,-4.83,0,0.0717,1.08e-05,0.0789,0.378,172.006,224000,3,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,91,46732802,"['Pop', 'Pop', 'Pop', 'Hip-hop', 'R&B']",Pop,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4766,1EEazdcjH0keT4sttGvH8c,Billboard 200 Top Albums 2020,183,2020-06-19,2020,2020-06-19,4Iqfx63CZhFGGIHiAvLxXY,Gabby Barrett,Got Me (feat. Shane & Shane),0jPyxhlX59YdIqCc0soDwR,48,"['Gabby Barrett', 'Shane & Shane']",['6Iz3eq2aQGFf7TbGT2iahL'],"['contemporary country', 'country pop']",[69],False,[203684],Goldmine,0.541,0.335,7,0.0307,-6.651,1,0.209,0.0,0.115,0.204,119.227,235904,3,Gabby Barrett,6Iz3eq2aQGFf7TbGT2iahL,69,203684,"['Country', 'Pop']",Country,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
