,playlist_id,playlist_name,position,album_name,album_id,album_release_date,album_artists,album_artists_ids,album_artists_genres,album_artists_popularity,album_artists_followers,track_name,track_id,track_popularity,track_artists,track_artists_ids,track_artists_genres,track_artists_popularity,track_explicit,track_artists_followers,danceability,energy,key,speechiness,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
168,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,169,Greatest Hits,5XqEf16OrHdmMoNS1b6WDg,2007-03-05,['The Notorious B.I.G.'],['5me0Irg2ANcsgc93uaYrpb'],"[['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']]",[81],[7159258],Hypnotize - 2007 Remaster,6Tsu3OsuMz4KEGKbOYd6A0,74,['The Notorious B.I.G.'],['5me0Irg2ANcsgc93uaYrpb'],"[['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']]",[81],True,[7159258],0.895,0.694,9,0.275,-4.384,1,0.176,0.0,0.292,0.632,93.944,230000,4
169,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,170,Tell Me You Love Me,5Mu891tmjTbt64meovPSuf,2017-09-29,['Demi Lovato'],['6S2OmqARrzebs0tKUEyXyp'],"[['dance pop', 'pop', 'post-teen pop']]",[84],[21441942],Sorry Not Sorry,0yvPEnB032fojLfVluFjUv,80,['Demi Lovato'],['6S2OmqARrzebs0tKUEyXyp'],"[['dance pop', 'pop', 'post-teen pop']]",[84],True,[21441942],0.706,0.643,11,0.234,-6.929,0,0.0242,0.0,0.262,0.885,143.931,203760,4
170,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,171,The Bigger Artist,3HHp5I6Q6SEyU5bkvoCtnV,2017-09-29,['A Boogie Wit da Hoodie'],['31W5EY0aAly4Qieq6OFu6I'],"[['melodic rap', 'rap', 'trap']]",[86],[6223675],Drowning (feat. Kodak Black),1f5cbQtDrykjarZVrShaDI,77,"['A Boogie Wit da Hoodie', 'Kodak Black']",['31W5EY0aAly4Qieq6OFu6I'],"[['melodic rap', 'rap', 'trap']]",[86],True,[6223675],0.839,0.81,5,0.0568,-5.274,0,0.501,0.0,0.117,0.814,129.014,209269,4
171,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,172,Encore,02sEJTj1sye1JaqxqpcSCp,2016-08-05,['DJ Snake'],['540vIaP2JwjQb9dm3aArA4'],"[['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']]",[83],[7659544],Let Me Love You,0lYBSQXN6rCTvUZvg9S0lU,84,"['DJ Snake', 'Justin Bieber']",['540vIaP2JwjQb9dm3aArA4'],"[['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']]",[83],False,[7659544],0.649,0.716,8,0.0349,-5.371,1,0.0863,2.63e-05,0.135,0.163,99.988,205947,4
172,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,173,Crash My Party,5M8gr5RV2eR6UkztC69ogB,2013-01-01,['Luke Bryan'],['0BvkDsjIUla7X0k6CSWh1I'],"[['contemporary country', 'country', 'country road']]",[79],[7012811],Play It Again,03fT3OHB9KyMtGMt2zwqCT,75,['Luke Bryan'],['0BvkDsjIUla7X0k6CSWh1I'],"[['contemporary country', 'country', 'country road']]",[79],False,[7012811],0.506,0.886,11,0.0655,-3.225,1,0.0916,0.0,0.0734,0.595,143.935,226867,4
173,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,174,What A Time To Be Alive,1ozpmkWcCHwsQ4QTnxOOdT,2015-09-20,"['Drake', 'Future']","['3TVXtAsR1Inumwj472S9r4', '1RyvyyTE3xzB2ZywiAwp0i']","[['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap'], ['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']]","[98, 91]","[60310746, 11044152]",Jumpman,27GmP9AWRs744SzKcpJsTZ,74,"['Drake', 'Future']","['3TVXtAsR1Inumwj472S9r4', '1RyvyyTE3xzB2ZywiAwp0i']","[['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap'], ['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']]","[98, 91]",True,"[60310746, 11044152]",0.852,0.553,1,0.187,-7.286,1,0.0559,0.0,0.332,0.656,142.079,205879,4
174,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,175,Descendants 2 (Original TV Movie Soundtrack),4Rk63Jz61wwbmQru0PdltI,2017-07-21,['Various Artists'],['0LyfQWJT6nXafLPZqxe9Of'],[[]],[0],[1447145],What's My Name,53xAT6jud1w0NqlBjSW4VB,68,"['China Anne McClain', 'Thomas Doherty', 'Dylan Playfair']",['0LyfQWJT6nXafLPZqxe9Of'],[[]],[0],False,[1447145],0.727,0.932,1,0.16,-4.931,1,0.098,0.0,0.211,0.662,114.032,190720,4
175,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,176,Handwritten,6sUOosXuYt0oUeczJRbedZ,2015-04-14,['Shawn Mendes'],['7n2wHs1TKAczGzO7Dd2rGr'],"[['canadian pop', 'dance pop', 'pop', 'viral pop']]",[89],[36157474],Stitches,5jsw9uXEGuKyJzs0boZ1bT,75,['Shawn Mendes'],['7n2wHs1TKAczGzO7Dd2rGr'],"[['canadian pop', 'dance pop', 'pop', 'viral pop']]",[89],False,[36157474],0.752,0.754,1,0.0615,-6.684,1,0.0151,0.0,0.0486,0.755,149.789,206880,4
176,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,177,Concrete and Gold,6KMkuqIwKkwUhUYRPL6dUc,2017-09-15,['Foo Fighters'],['7jy3rLJdDQY21OgRLCZ9sD'],"[['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']]",[80],[9459045],The Sky Is A Neighborhood,3kdMzXOcrDIdSWLdONHNK5,66,['Foo Fighters'],['7jy3rLJdDQY21OgRLCZ9sD'],"[['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']]",[80],False,[9459045],0.357,0.549,11,0.0698,-7.843,0,0.000798,0.00485,0.22,0.531,130.749,244573,4
177,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,178,Hybrid Theory,2pKw6GERJVAD61449B1EEM,2000-10-24,['Linkin Park'],['6XyY86QOPPrYVGvF9ch6wz'],"[['alternative metal', 'nu metal', 'post-grunge', 'rap metal']]",[86],[20940412],In the End,3tSmXSxaAnU1EPGKa6NytH,66,['Linkin Park'],['6XyY86QOPPrYVGvF9ch6wz'],"[['alternative metal', 'nu metal', 'post-grunge', 'rap metal']]",[86],False,[20940412],0.555,0.844,3,0.0554,-6.567,0,0.00834,0.0,0.0895,0.464,105.195,216800,4
178,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,179,Flicker (Deluxe),7ahctQBwcSxDdP0fRAPo2p,2017-10-20,['Niall Horan'],['1Hsdzj7Dlq2I7tHP7501T4'],"[['dance pop', 'pop', 'post-teen pop']]",[81],[8135179],Slow Hands,2cOUlop2ZakjOKe4WinesN,78,['Niall Horan'],['1Hsdzj7Dlq2I7tHP7501T4'],"[['dance pop', 'pop', 'post-teen pop']]",[81],False,[8135179],0.735,0.425,0,0.0464,-6.648,1,0.011,0.0,0.055,0.848,85.896,188174,4
179,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,180,Here's To The Good Times,5MH765pytbQasmDxXArTah,2012-01-01,['Florida Georgia Line'],['3b8QkneNDz4JHKKKlLgYZg'],"[['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']]",[79],[4624632],Cruise,0i5el041vd6nxrGEU8QRxy,73,['Florida Georgia Line'],['3b8QkneNDz4JHKKKlLgYZg'],"[['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']]",[79],False,[4624632],0.457,0.948,10,0.0354,-3.364,1,0.0191,0.0,0.0536,0.878,148.0,208960,4
180,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,181,To Pimp A Butterfly,7ycBtnsMtyVbbwTfJwRjSP,2015-03-16,['Kendrick Lamar'],['2YZyLoL8N0Wb9xBt1NhZWg'],"[['conscious hip hop', 'hip hop', 'rap', 'west coast rap']]",[90],[19114324],King Kunta,0N3W5peJUQtI4eyR6GJT5O,76,['Kendrick Lamar'],['2YZyLoL8N0Wb9xBt1NhZWg'],"[['conscious hip hop', 'hip hop', 'rap', 'west coast rap']]",[90],True,[19114324],0.884,0.657,6,0.0977,-4.569,0,0.00589,0.0,0.154,0.489,107.059,234693,4
181,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,182,Fetty Wap (Deluxe),3V2zK11kl50LP3hGsnb2WJ,2015-09-25,['Fetty Wap'],['6PXS4YHDkKvl1wkIl4V8DL'],"[['new jersey rap', 'pop rap', 'rap', 'southern hip hop', 'trap']]",[75],[4226509],Trap Queen,6X4opgDGb2mkOsovBKTfsy,43,['Fetty Wap'],['6PXS4YHDkKvl1wkIl4V8DL'],"[['new jersey rap', 'pop rap', 'rap', 'southern hip hop', 'trap']]",[75],False,[4226509],0.747,0.879,7,0.137,-3.812,1,0.0232,0.0,0.363,0.808,148.085,221293,4
182,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,183,Nevermind (Remastered),2guirTSEqLizK7j9i1MTTZ,1991-09-26,['Nirvana'],['6olE6TJLqED3rqDCT0FyPh'],"[['alternative rock', 'grunge', 'permanent wave', 'rock']]",[83],[14425025],Smells Like Teen Spirit,5ghIJDpPoe3CfHMGu71E6T,80,['Nirvana'],['6olE6TJLqED3rqDCT0FyPh'],"[['alternative rock', 'grunge', 'permanent wave', 'rock']]",[83],False,[14425025],0.502,0.912,1,0.0564,-4.556,1,2.55e-05,0.000173,0.106,0.72,116.761,301920,4
183,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,184,Perfect Timing,6VFETcEfjilkAng073KLt9,2017-07-21,"['NAV', 'Metro Boomin']","['7rkW85dBwwrJtlHRDkJDAC', '0iEtIxbK0KxaSlF7G42ZOp']","[['canadian hip hop', 'canadian trap', 'hip hop', 'melodic rap', 'rap', 'toronto rap', 'trap'], ['hip hop', 'rap', 'southern hip hop', 'trap']]","[80, 82]","[2826156, 2804452]",Call Me,1xpXnpIpuvzpx9jz15baJF,67,"['NAV', 'Metro Boomin']","['7rkW85dBwwrJtlHRDkJDAC', '0iEtIxbK0KxaSlF7G42ZOp']","[['canadian hip hop', 'canadian trap', 'hip hop', 'melodic rap', 'rap', 'toronto rap', 'trap'], ['hip hop', 'rap', 'southern hip hop', 'trap']]","[80, 82]",True,"[2826156, 2804452]",0.678,0.395,9,0.12,-8.639,0,0.411,0.00544,0.122,0.136,170.065,215067,4
185,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,186,The First Time,4smRLX0wglNhMXGyahWuUf,2015-05-18,['Kelsea Ballerini'],['3RqBeV12Tt7A8xH3zBDDUF'],"[['contemporary country', 'country', 'pop']]",[72],[903461],Peter Pan,2wqXQjOmQ9KoBm9Ssgt4Fo,66,['Kelsea Ballerini'],['3RqBeV12Tt7A8xH3zBDDUF'],"[['contemporary country', 'country', 'pop']]",[72],False,[903461],0.514,0.659,1,0.0309,-6.142,1,0.0284,0.0,0.266,0.463,76.483,200040,4
186,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,187,Big Baby DRAM,0VyKwpqF4igJx843PFYAO3,2016-10-20,['Shelley FKA DRAM'],['5M0lbkGluOPXLeFjApw8r8'],"[['alternative r&b', 'pop rap', 'rap', 'virginia hip hop']]",[65],[813467],Broccoli,3TZNfQroKv6tYQkwpdJcuH,31,"['Shelley FKA DRAM', 'Lil Yachty']",['5M0lbkGluOPXLeFjApw8r8'],"[['alternative r&b', 'pop rap', 'rap', 'virginia hip hop']]",[65],False,[813467],0.903,0.525,8,0.216,-7.687,1,0.247,0.0,0.0584,0.714,145.973,225280,4
187,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,188,Now (Deluxe),5L1fa5sInW8EeKIXAGycMD,2017-09-29,['Shania Twain'],['5e4Dhzv426EvQe3aDb64jL'],"[['canadian country', 'canadian pop', 'country', 'country dawn', 'dance pop']]",[75],[2422885],Life's About To Get Good,4h5uOWibuxo0qrtejla7Pb,49,['Shania Twain'],['5e4Dhzv426EvQe3aDb64jL'],"[['canadian country', 'canadian pop', 'country', 'country dawn', 'dance pop']]",[75],False,[2422885],0.637,0.891,10,0.0383,-4.704,1,0.00435,0.0,0.339,0.689,99.979,220173,4
188,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,189,DARKNESS AND LIGHT,7xMjYDrgPLp1ReFGAOyS1O,2016-12-02,['John Legend'],['5y2Xq6xcjJb2jVM54GHK3t'],"[['neo soul', 'pop', 'pop soul', 'r&b', 'urban contemporary']]",[83],[6071055],Love Me Now,6nxQdXa1uAL0rY72wPZu89,68,['John Legend'],['5y2Xq6xcjJb2jVM54GHK3t'],"[['neo soul', 'pop', 'pop soul', 'r&b', 'urban contemporary']]",[83],False,[6071055],0.495,0.762,8,0.0862,-3.842,1,0.591,0.0,0.0763,0.708,123.893,210293,4
189,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,190,Hozier,04E0aLUdCHnhnnYrDDvcHq,2014-10-07,['Hozier'],['2FXC3k01G6Gw61bmprjgqS'],"[['irish singer-songwriter', 'pop']]",[82],[5014241],Take Me to Church,0aOluBqXYd0rFSCsgDyAWX,65,['Hozier'],['2FXC3k01G6Gw61bmprjgqS'],"[['irish singer-songwriter', 'pop']]",[82],False,[5014241],0.575,0.664,4,0.0481,-5.303,0,0.637,0.0,0.116,0.437,129.07,241693,4
190,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,191,"NOW That's What I Call Music, Vol. 62",2x7pNYipWSrkKUnjzP9GhN,2017-05-05,['Various Artists'],['0LyfQWJT6nXafLPZqxe9Of'],[[]],[0],[1447145],I Feel It Coming,3nbFn0h1XJb3rGNsPl0CbV,24,"['The Weeknd', 'Daft Punk']",['0LyfQWJT6nXafLPZqxe9Of'],[[]],[0],False,[1447145],0.77,0.807,0,0.14,-5.904,0,0.416,0.0,0.106,0.576,92.985,266440,4
192,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,193,Long Live Nut,19EwdZNJYi92XMSKEyhnO9,2017-03-03,['YFN Lucci'],['5Berubt6ysOy2LCMyqhmXP'],"[['arkansas hip hop', 'atl hip hop', 'melodic rap', 'pop r&b', 'pop rap', 'rap', 'southern hip hop', 'trap']]",[65],[1999147],Everyday We Lit (feat. PnB Rock),3J8Q6aBhjpvao8BsBQ6H9Y,65,"['YFN Lucci', 'PnB Rock']",['5Berubt6ysOy2LCMyqhmXP'],"[['arkansas hip hop', 'atl hip hop', 'melodic rap', 'pop r&b', 'pop rap', 'rap', 'southern hip hop', 'trap']]",[65],True,[1999147],0.758,0.646,7,0.113,-4.701,1,0.128,0.0,0.0776,0.589,155.949,197171,4
193,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,194,EPIC LIT,36oUYFrslZeAVScyb7IOCj,2017-02-24,['Various Artists'],['0LyfQWJT6nXafLPZqxe9Of'],[[]],[0],[1447145],Call on Me - Ryan Riback Remix,3WDF1pBk9DNGR3wNQmyZL3,15,"['Starley', 'Ryan Riback']",['0LyfQWJT6nXafLPZqxe9Of'],[[]],[0],False,[1447145],0.67,0.838,0,0.0362,-4.031,1,0.0604,0.000611,0.159,0.717,104.998,222041,4
194,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,195,+,0W5GGnapMz0VwemQvJDqa7,2011-09-09,['Ed Sheeran'],['6eUKZXaKkcviH0Ku9w2n3V'],"[['pop', 'uk pop']]",[96],[91177982],The A Team,1VdZ0vKfR5jneCmWIUAMxK,77,['Ed Sheeran'],['6eUKZXaKkcviH0Ku9w2n3V'],"[['pop', 'uk pop']]",[96],False,[91177982],0.642,0.289,9,0.0367,-9.918,1,0.669,0.0,0.18,0.407,84.996,258373,4
195,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,196,Sing It Now: Songs Of Faith & Hope,3zSyGvLk5FcLhC3BtbKr9z,2017-02-03,['Reba McEntire'],['02rd0anEWfMtF7iMku9uor'],"[['contemporary country', 'country', 'country dawn', 'oklahoma country']]",[66],[1548058],Back To God,3W29VxuZ2AZNkPPJwVmD3a,34,['Reba McEntire'],['02rd0anEWfMtF7iMku9uor'],"[['contemporary country', 'country', 'country dawn', 'oklahoma country']]",[66],False,[1548058],0.501,0.674,6,0.0315,-5.666,1,0.039,2.92e-06,0.0783,0.359,147.931,289840,4
196,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,197,BEYONCÉ [Platinum Edition],2UJwKSBUz6rtW4QLK74kQu,2014-11-24,['Beyoncé'],['6vWDO969PvNqNYHIOW5v0m'],"[['dance pop', 'pop', 'r&b']]",[86],[30095227],7/11,02M6vucOvmRfMxTXDUwRXu,72,['Beyoncé'],['6vWDO969PvNqNYHIOW5v0m'],"[['dance pop', 'pop', 'r&b']]",[86],False,[30095227],0.747,0.705,9,0.126,-5.137,0,0.0128,0.0,0.126,0.56,136.024,213507,4
198,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,199,The Breaker,2aQOzEjLzPkffXDwREXdAh,2017-02-24,['Little Big Town'],['3CygdxquGHurS7f9LjNLkv'],"[['contemporary country', 'country', 'country dawn', 'country road']]",[69],[2325885],Better Man,23TxRN09aR1RB0G0tFoT0b,68,['Little Big Town'],['3CygdxquGHurS7f9LjNLkv'],"[['contemporary country', 'country', 'country dawn', 'country road']]",[69],False,[2325885],0.514,0.836,5,0.0381,-3.663,1,0.112,0.0,0.0878,0.501,143.888,263120,4
199,1N9WQ0C6m7n1TVeLXdUoNb,Billboard 200 Top Albums 2017,200,Heart Break,4WZZDzGqjvw4bRwrp56U24,2017-06-09,['Lady A'],['32WkQRZEVKSzVAAYqukAEA'],"[['contemporary country', 'country', 'country dawn', 'country pop', 'country road', 'neo mellow']]",[73],[3438950],Heart Break,3YZ5TNGA10oTLaADq4zuNV,50,['Lady A'],['32WkQRZEVKSzVAAYqukAEA'],"[['contemporary country', 'country', 'country dawn', 'country pop', 'country road', 'neo mellow']]",[73],False,[3438950],0.549,0.883,7,0.0346,-5.525,1,0.0423,1.31e-05,0.323,0.668,83.994,188293,4
