,playlist_id,playlist_name,position,album_name,album_id,album_release_date,album_artists,album_artists_ids,album_artists_genres,album_artists_popularity,album_artists_followers,track_name,track_id,track_popularity,track_artists,track_artists_ids,track_artists_genres,track_artists_popularity,track_explicit,track_artists_followers,danceability,energy,key,speechiness,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,0n3V7u9sMRV7sCDMhWxDtL,Billboard 200 Top Albums 2019,1,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",0S0KGZnfBGSIssfF54WSJh,2019-03-29,Billie Eilish,['6qqNVTkY8uBg9cP3Jd7DAH'],"[['art pop', 'electropop', 'pop']]",[93],[55712878],when the party's over,43zdsphuZLzwA9k4DJhU0I,84,['Billie Eilish'],['6qqNVTkY8uBg9cP3Jd7DAH'],"[['art pop', 'electropop', 'pop']]",[93],False,[55712878],0.367,0.111,4,0.0972,-14.084,1,0.978,3.97e-05,0.0897,0.198,82.642,196077,4
1,0n3V7u9sMRV7sCDMhWxDtL,Billboard 200 Top Albums 2019,2,"thank u, next",2fYhqwDWXjbpjaIJPEfKFw,2019-02-08,['Ariana Grande'],['66CXWjxzNUsdJxJ2JdwvnR'],"[['dance pop', 'pop']]",[94],[74818140],7 rings,6ocbgoVGwYJhOv1GgI9NsF,86,['Ariana Grande'],['66CXWjxzNUsdJxJ2JdwvnR'],"[['dance pop', 'pop']]",[94],True,[74818140],0.778,0.317,1,0.334,-10.732,0,0.592,0.0,0.0881,0.327,140.048,178627,4
2,0n3V7u9sMRV7sCDMhWxDtL,Billboard 200 Top Albums 2019,3,A Star Is Born Soundtrack,4sLtOBOzn4s3GDUv3c5oJD,2018-10-05,"['Lady Gaga', 'Bradley Cooper']","['1HY2Jd0NmPuamShAr6KMms', '4VIvfOurcf0vuLRxLkGnIG']","[['art pop', 'dance pop', 'pop'], ['hollywood']]","[87, 74]","[20766418, 193995]",Shallow,2VxeLyX666F8uXCJ0dZF8B,86,"['Lady Gaga', 'Bradley Cooper']","['1HY2Jd0NmPuamShAr6KMms', '4VIvfOurcf0vuLRxLkGnIG']","[['art pop', 'dance pop', 'pop'], ['hollywood']]","[87, 74]",False,"[20766418, 193995]",0.572,0.385,7,0.0308,-6.362,1,0.371,0.0,0.231,0.323,95.799,215733,4
3,0n3V7u9sMRV7sCDMhWxDtL,Billboard 200 Top Albums 2019,4,Lover,1NAmidJlEaVgA3MpcPFYGq,2019-08-23,['Taylor Swift'],['06HL4z0CvFAxyc27GXpf02'],[['pop']],[98],[48097228],ME! (feat. Brendon Urie of Panic! At The Disco),2Rk4JlNc2TPmZe2af99d45,78,"['Taylor Swift', 'Brendon Urie', 'Panic! At The Disco']",['06HL4z0CvFAxyc27GXpf02'],[['pop']],[98],False,[48097228],0.61,0.83,0,0.0571,-4.105,1,0.033,0.0,0.118,0.728,182.162,193000,4
4,0n3V7u9sMRV7sCDMhWxDtL,Billboard 200 Top Albums 2019,5,beerbongs & bentleys,6trNtQUgC8cgbWcqoMYkOR,2018-04-27,['Post Malone'],['246dkjvS1zLTtiykXe5h60'],"[['dfw rap', 'melodic rap', 'rap']]",[92],[35612420],rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,86,"['Post Malone', '21 Savage']",['246dkjvS1zLTtiykXe5h60'],"[['dfw rap', 'melodic rap', 'rap']]",[92],True,[35612420],0.585,0.52,5,0.0712,-6.136,0,0.124,7.01e-05,0.131,0.129,159.801,218147,4
5,0n3V7u9sMRV7sCDMhWxDtL,Billboard 200 Top Albums 2019,6,Scorpion,1ATL5GLyefJaxhQzSPVrLX,2018-06-29,['Drake'],['3TVXtAsR1Inumwj472S9r4'],"[['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']]",[98],[60310746],God's Plan,6DCZcSspjsKoFjzjrWoCdn,84,['Drake'],['3TVXtAsR1Inumwj472S9r4'],"[['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']]",[98],True,[60310746],0.754,0.449,7,0.109,-9.211,1,0.0332,8.29e-05,0.552,0.357,77.169,198973,4
6,0n3V7u9sMRV7sCDMhWxDtL,Billboard 200 Top Albums 2019,7,Championships,6UYZEYjpN1DYRW0kqFy9ZE,2018-11-30,['Meek Mill'],['20sxb77xiYeusSH8cVdatc'],"[['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']]",[81],[5768862],Going Bad (feat. Drake),2IRZnDFmlqMuOrYOLnZZyc,81,"['Meek Mill', 'Drake']",['20sxb77xiYeusSH8cVdatc'],"[['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']]",[81],True,[5768862],0.889,0.496,4,0.0905,-6.365,0,0.259,0.0,0.252,0.544,86.003,180522,4
7,0n3V7u9sMRV7sCDMhWxDtL,Billboard 200 Top Albums 2019,8,ASTROWORLD,41GuZcammIkupMPKH2OJ6I,2018-08-03,['Travis Scott'],['0Y5tJX1MQlPlqiwlOH1tJY'],"[['rap', 'slap house']]",[92],[19574893],SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,84,['Travis Scott'],['0Y5tJX1MQlPlqiwlOH1tJY'],"[['rap', 'slap house']]",[92],True,[19574893],0.834,0.73,8,0.222,-3.714,1,0.00513,0.0,0.124,0.446,155.008,312820,4
8,0n3V7u9sMRV7sCDMhWxDtL,Billboard 200 Top Albums 2019,9,Hollywood's Bleeding,4g1ZRSobMefqF6nelkgibi,2019-09-06,['Post Malone'],['246dkjvS1zLTtiykXe5h60'],"[['dfw rap', 'melodic rap', 'rap']]",[92],[35612420],Sunflower - Spider-Man: Into the Spider-Verse,0RiRZpuVRbi7oqRdSMwhQY,82,"['Post Malone', 'Swae Lee']",['246dkjvS1zLTtiykXe5h60'],"[['dfw rap', 'melodic rap', 'rap']]",[92],False,[35612420],0.755,0.522,2,0.0575,-4.368,1,0.533,0.0,0.0685,0.925,89.96,157560,4
9,0n3V7u9sMRV7sCDMhWxDtL,Billboard 200 Top Albums 2019,10,Hoodie SZN,3r5hf3Cj3EMh1C2saQ8jyt,2018-12-21,['A Boogie Wit da Hoodie'],['31W5EY0aAly4Qieq6OFu6I'],"[['melodic rap', 'rap', 'trap']]",[86],[6223675],Swervin (feat. 6ix9ine),1wJRveJZLSb1rjhnUHQiv6,79,"['A Boogie Wit da Hoodie', '6ix9ine']",['31W5EY0aAly4Qieq6OFu6I'],"[['melodic rap', 'rap', 'trap']]",[86],True,[6223675],0.581,0.662,9,0.303,-5.239,1,0.0153,0.0,0.111,0.434,93.023,189487,4
10,0n3V7u9sMRV7sCDMhWxDtL,Billboard 200 Top Albums 2019,11,This One's for You,1lhNch5NkOONvFhRPh8qaj,2017-06-02,['Luke Combs'],['718COspgdWOnwOFpJHRZHS'],"[['contemporary country', 'country']]",[83],[6057090],Hurricane,6xHI9KjUjYT0FPtGO8Mxa1,76,['Luke Combs'],['718COspgdWOnwOFpJHRZHS'],"[['contemporary country', 'country']]",[83],False,[6057090],0.464,0.813,10,0.0416,-6.185,1,0.0153,0.0,0.254,0.515,75.977,222533,4
11,0n3V7u9sMRV7sCDMhWxDtL,Billboard 200 Top Albums 2019,12,Bohemian Rhapsody (The Original Soundtrack),3BHe7LbW5yRjyqXNJ3A6mW,2018-10-19,['Queen'],['1dfeR4HaWDbWqFHLkxsg1d'],"[['classic rock', 'glam rock', 'rock']]",[88],[39227023],The Show Must Go On - 2011 Remaster,0LCWyLFPXIeg1CIC1NS712,40,['Queen'],['1dfeR4HaWDbWqFHLkxsg1d'],"[['classic rock', 'glam rock', 'rock']]",[88],False,[39227023],0.425,0.675,11,0.0409,-6.79,0,0.433,4.51e-06,0.112,0.0671,84.156,271612,4
